taxon	defined_class	defined_class_label	lbo_id	venom_code	fci_id
NCBITaxon:9615	OMIA:170	Alaskan Malamute		13642	
NCBITaxon:9615	OMIA:550	Malamute		13642	
NCBITaxon:9615	OMIA:953	Alaskan Klee Kai		13641	
NCBITaxon:9615	OMIA:1090	American Akita		13639	
NCBITaxon:9615	OMIA:981	Akita		13638	
NCBITaxon:9615	OMIA:929	Boerboel		13635	
NCBITaxon:9685	OMIA:983	Somali		7355	
NCBITaxon:9615	OMIA:744	Bouvier		7351	
NCBITaxon:9615	OMIA:306	Chihuahua		7347	
NCBITaxon:9913	OMIA:100	Red Spotted Czech			
NCBITaxon:9615	OMIA:1001	Eskimo Spitz			
NCBITaxon:9031	OMIA:1002	Chinese Xingyi			
NCBITaxon:9031	OMIA:1003	Japanese game fowl			
NCBITaxon:9823	OMIA:1008	Bama miniature			
NCBITaxon:9913	OMIA:1009	Mongolian Turano			
NCBITaxon:9796	OMIA:1010	Camarillo White Horse			
NCBITaxon:9796	OMIA:1011	Japanese Draft			
NCBITaxon:9796	OMIA:1013	Noriker			
NCBITaxon:9796	OMIA:1014	Gipsy			
NCBITaxon:9796	OMIA:1015	South German Draft			
NCBITaxon:9986	OMIA:1020	Loh			
NCBITaxon:9913	OMIA:1022	Danish Holstein			
NCBITaxon:9615	OMIA:1029	Swedish Briard 			
NCBITaxon:9913	OMIA:1033	German Holstein			
NCBITaxon:9913	OMIA:1034	Swiss Holstein			
NCBITaxon:9913	OMIA:1035	Friesian-Jersey mosaic			
NCBITaxon:9913	OMIA:1036	American Brown Swiss			
NCBITaxon:9913	OMIA:1037	Beef Booster Composite			
NCBITaxon:9940	OMIA:1040	Norwegian breeds			
NCBITaxon:9796	OMIA:1048	Australian Spotted Pony			
NCBITaxon:9031	OMIA:1050	Wisconsin hypoalpha mutant (WHAM)			
NCBITaxon:9031	OMIA:1051	Connecticut (CT) strain			
NCBITaxon:9031	OMIA:1052	S2 line			
NCBITaxon:9031	OMIA:1053	Fayoumi eplipeptic strain			
NCBITaxon:9031	OMIA:1054	Huiyang Bearded			
NCBITaxon:9031	OMIA:1055	NH-413 strain			
NCBITaxon:9031	OMIA:1056	OPN strain			
NCBITaxon:9031	OMIA:1057	Polymorphic Nucleolar (PNU) strain			
NCBITaxon:9031	OMIA:1058	ISA Brown			
NCBITaxon:9031	OMIA:1059	Lohmann Brown			
NCBITaxon:9031	OMIA:1060	Marans			
NCBITaxon:9031	OMIA:1061	TETRA			
NCBITaxon:9031	OMIA:1063	Beijing You			
NCBITaxon:9913	OMIA:1065	Limonero			
NCBITaxon:9103	OMIA:1068	Commercial lines			
NCBITaxon:9615	OMIA:1069	Polski Owczarek Nizinny			
NCBITaxon:9823	OMIA:1071	FH-r strain			
NCBITaxon:9913	OMIA:1073	Rouge-des-PrÃ©s			
NCBITaxon:9615	OMIA:1075	Schnauzer-Beagle cross			
NCBITaxon:9793	OMIA:1076	Normand			
NCBITaxon:9793	OMIA:1077	miniature donkey			
NCBITaxon:9913	OMIA:1080	Italian Holstein			
NCBITaxon:9913	OMIA:1081	Italian Holstein			
NCBITaxon:9615	OMIA:1083	American Bully			
NCBITaxon:9796	OMIA:1088	American Bashkir Curly horse			
NCBITaxon:9913	OMIA:1094	Miniature Zebu			
NCBITaxon:9913	OMIA:1095	Scottish Highland			
NCBITaxon:9796	OMIA:1097	Spanish horse			
NCBITaxon:9796	OMIA:1098	Standardbred Ã— Tennessee Walking Horse cross			
NCBITaxon:9796	OMIA:1099	Purebred Spanish horse			
NCBITaxon:9940	OMIA:1106	VÃ_rmland			
NCBITaxon:9940	OMIA:1107	Helsinge			
NCBITaxon:9940	OMIA:1108	KlÃ¶vsjÃ¶			
NCBITaxon:9913	OMIA:1111	Tux-Zillertaler			
NCBITaxon:9913	OMIA:1113	British Gloucester			
NCBITaxon:9913	OMIA:1115	Eringer			
NCBITaxon:9913	OMIA:1117	French Holstein			
NCBITaxon:9940	OMIA:1118	Valais Red			
NCBITaxon:9940	OMIA:112	Dorset Horn			
NCBITaxon:9823	OMIA:1120	Cinta Senese			
NCBITaxon:9940	OMIA:1121	Mexican Pelibuey			
NCBITaxon:9796	OMIA:1122	Gypsy			
NCBITaxon:9940	OMIA:1123	Istrian Pramenka			
NCBITaxon:9031	OMIA:1124	Mie-Jidori			
NCBITaxon:9925	OMIA:1126	Norwegian Dairy Goat			
NCBITaxon:9823	OMIA:1127	Synthetic			
NCBITaxon:9615	OMIA:1131	Pit Bull Terrier			
NCBITaxon:9913	OMIA:1137	Yakutian			
NCBITaxon:9913	OMIA:1138	Gurtenvieh			
NCBITaxon:9925	OMIA:114	Sardinian			
NCBITaxon:8843	OMIA:1140	Gang			
NCBITaxon:9925	OMIA:1141	Pak angora			
