defined_class	defined_class_label	taxon	lbo_id	venom_code	fci_id
ID	LABEL	SC 'in taxon' some %	A http://purl.obolibrary.org/obo/omia#lbo_id	A http://purl.obolibrary.org/obo/omia#venom_code	A http://purl.obolibrary.org/obo/omia#fci_id
OMIA:693	Tonkanese	NCBITaxon:9685		15334	
OMIA:824	Sphynx	NCBITaxon:9685		15333	
OMIA:161	Siamese	NCBITaxon:9685		15326	
OMIA:807	Siamese	NCBITaxon:9685		15326	
OMIA:808	Siamese	NCBITaxon:9685		15326	
OMIA:871	Selkirk Rex	NCBITaxon:9685		15322	
OMIA:788	Ragdoll	NCBITaxon:9685		15315	
OMIA:894	Pixie-Bob	NCBITaxon:9685		15313	
OMIA:982	Norwegian Forest	NCBITaxon:9685		15304	
OMIA:91	Maltese Blue	NCBITaxon:9685		15295	
OMIA:778	Maine Coon	NCBITaxon:9685		15294	
OMIA:865	Korat	NCBITaxon:9685		15289	
OMIA:22	Himalayan	NCBITaxon:9685		15285	
OMIA:852	German Rex	NCBITaxon:9685		15282	
OMIA:888	Don Sphynx	NCBITaxon:9685		15275	
OMIA:461	Domestic shorthair	NCBITaxon:9685		15273	
OMIA:578	Domestic Shorthair	NCBITaxon:9685		15273	
OMIA:1156	Domestic medium-haired	NCBITaxon:9685		15272	
OMIA:777	Domestic Longhair	NCBITaxon:9685		15271	
OMIA:320	Devon Rex	NCBITaxon:9685		15269	
OMIA:822	Cornish Rex	NCBITaxon:9685		15266	
OMIA:373	Chincilla	NCBITaxon:9615		15265	
OMIA:761	Burmilla	NCBITaxon:9685		15259	
OMIA:201	Burmese	NCBITaxon:9685		15258	
OMIA:460	British shorthair	NCBITaxon:9685		15257	
OMIA:722	British Shorthair	NCBITaxon:9685		15257	
OMIA:927	Birman	NCBITaxon:9685		15251	
OMIA:28	Bengal	NCBITaxon:9685		15250	
OMIA:195	Abyssinian	NCBITaxon:9685		15238	
OMIA:657	Borzoi	NCBITaxon:9615		15136	
OMIA:669	Irish Wolfhound	NCBITaxon:9615		15134	
OMIA:402	Pembroke Welsh Corgi	NCBITaxon:9615		15126	
OMIA:21	Cardigan Welsh Corgi	NCBITaxon:9615		15124	
OMIA:20	Corgi	NCBITaxon:9615		15123	
OMIA:802	Corgi	NCBITaxon:9615		15123	
OMIA:980	Welsh Corgi	NCBITaxon:9615		15123	
OMIA:282	Weimaraner	NCBITaxon:9615		15122	
OMIA:780	Lagotto Romagnolo	NCBITaxon:9615		15119	
OMIA:800	Portugese water dog	NCBITaxon:9615		15118	
OMIA:959	Hungarian Puli	NCBITaxon:9615		15117	
OMIA:775	Tenterfield Terrier	NCBITaxon:9615		15082	
OMIA:765	American Staffordshire terrier	NCBITaxon:9615		15079	
OMIA:23	Soft Coated Wheaten Terrier	NCBITaxon:9615		15075	
OMIA:357	Silky Terrier	NCBITaxon:9615		15073	
OMIA:446	Sealyham Terrier	NCBITaxon:9615		15071	
OMIA:244	Scottish Terrier	NCBITaxon:9615		15049	
OMIA:951	Russell Terrier	NCBITaxon:9615		15047	
OMIA:887	Parson Russell Terrier	NCBITaxon:9615		15044	
OMIA:907	Norwich Terrier	NCBITaxon:9615		15043	
OMIA:851	Norfolk terrier	NCBITaxon:9615		15042	
OMIA:395	Manchester Terrier	NCBITaxon:9615		15036	
OMIA:416	Lakeland Terrier	NCBITaxon:9615		15033	
OMIA:313	Kerry Blue Terrier	NCBITaxon:9615		15032	
OMIA:546	Jack Russell Terrier	NCBITaxon:9615		15009	
OMIA:311	Irish Terrier	NCBITaxon:9615		15008	
OMIA:1026	Glen of Imaal Terrier	NCBITaxon:9615		15005	
OMIA:841	Glen of Imaal	NCBITaxon:9615		15005	
OMIA:1064	German Hunting Terrier	NCBITaxon:9615		15004	
OMIA:773	Toy Fox Terrier	NCBITaxon:9615		15002	
OMIA:950	Smooth-Haired Fox Terrier	NCBITaxon:9615		15001	
OMIA:298	Fox Terrier	NCBITaxon:9615		14999	
OMIA:892	Dandie Dinmont Terrier	NCBITaxon:9615		14995	
OMIA:251	Cairn Terrier	NCBITaxon:9615		14993	
OMIA:1067	Miniature Bull Terrier	NCBITaxon:9615		14992	
OMIA:32	Bull Terrier	NCBITaxon:9615		14965	
OMIA:870	Brazilian Terrier	NCBITaxon:9615		14964	
OMIA:563	Boston Terrier	NCBITaxon:9615		14963	
OMIA:933	Black Russian Terrier	NCBITaxon:9615		14960	
OMIA:214	Bedlington Terrier	NCBITaxon:9615		14957	
OMIA:766	American pit bull terrier	NCBITaxon:9615		14952	
OMIA:1096	American Hairless Terrier	NCBITaxon:9615		14951	
OMIA:276	Airedale Terrier	NCBITaxon:9615		14929	
OMIA:607	Terrier	NCBITaxon:9615		14927	
OMIA:925	Japanese Spitz	NCBITaxon:9615		14918	
OMIA:973	German Spitz	NCBITaxon:9615		14913	
OMIA:903	Finnish Spitz	NCBITaxon:9615		14912	
OMIA:468	English Springer Spaniel	NCBITaxon:9615		14884	
OMIA:397	Springer Spaniel	NCBITaxon:9615		14883	
OMIA:553	King Charles Spaniel	NCBITaxon:9615		14880	
OMIA:948	French Spaniel	NCBITaxon:9615		14877	
OMIA:641	Toy Spaniel	NCBITaxon:9615		14872	
OMIA:636	English Cocker Spaniel	NCBITaxon:9615		14850	
OMIA:764	American cocker spaniel	NCBITaxon:9615		14848	
OMIA:50	Cocker Spaniel	NCBITaxon:9615		14846	
OMIA:793	Clumber Spaniel	NCBITaxon:9615		14845	
OMIA:154	Cavalier King Charles Spaniel	NCBITaxon:9615		14844	
OMIA:464	Boykin Spaniel	NCBITaxon:9615		14841	
OMIA:186	Spaniel	NCBITaxon:9615		14839	
OMIA:812	Silken windhound	NCBITaxon:9615		14835	
OMIA:683	Shih-Tzu	NCBITaxon:9615		14833	
OMIA:810	McNab shepherd	NCBITaxon:9615		14804	
OMIA:11	German Shepherd Dog	NCBITaxon:9615		14796	
OMIA:452	Alsatian	NCBITaxon:9615		14796	
OMIA:69	German shepherd	NCBITaxon:9615		14796	
OMIA:1165	Dutch Shepherd dog	NCBITaxon:9615		14793	
OMIA:960	Central Asian Shepherd	NCBITaxon:9615		14770	
OMIA:559	Tervueron Shepherd	NCBITaxon:9615		14765	
OMIA:823	Malinois	NCBITaxon:9615		14764	
OMIA:560	Belgian Shepherd	NCBITaxon:9615		14761	
OMIA:843	Miniature Australian shepherd	NCBITaxon:9615		14757	
OMIA:640	Anatolian Shepherd	NCBITaxon:9615		14755	
OMIA:668	Shepherd	NCBITaxon:9615		14752	
OMIA:210	Shetland Sheepdog	NCBITaxon:9615		14729	
OMIA:1070	Polski Owczarek Podhalanski	NCBITaxon:9615		14725	
OMIA:487	Polish Owczarek Nizinny	NCBITaxon:9615		14724	
OMIA:173	Old English Sheepdog	NCBITaxon:9615		14723	
OMIA:308	Norwegian buhund	NCBITaxon:9615		14722	
OMIA:1031	New Zealand Huntaway dog	NCBITaxon:9615		14721	
OMIA:836	Schapendoes	NCBITaxon:9615		14713	
OMIA:486	Australian Sheepdog	NCBITaxon:9615		14685	
OMIA:312	Sheepdog	NCBITaxon:9615		14683	
OMIA:762	Irish Red and White Setter	NCBITaxon:9615		14680	
OMIA:242	Red Irish Setter	NCBITaxon:9615		14679	
OMIA:491	Gordon Setter	NCBITaxon:9615		14678	
OMIA:952	Gordon Setter	NCBITaxon:9615		14678	
OMIA:184	English Setter	NCBITaxon:9615		14677	
OMIA:900	Scottish Deerhound	NCBITaxon:9615		14675	
OMIA:1119	Standard Schnauzer	NCBITaxon:9615		14673	
OMIA:8	Miniature Schnauzer	NCBITaxon:9615		14672	
OMIA:371	Giant Schnauzer	NCBITaxon:9615		14671	
OMIA:325	Schipperke	NCBITaxon:9615		14650	
OMIA:89	Samoyed	NCBITaxon:9615		14647	
OMIA:697	Saluki	NCBITaxon:9615		14646	
OMIA:442	Rottweiler	NCBITaxon:9615		14636	
OMIA:157	Rhodesian Ridgeback	NCBITaxon:9615		14634	
OMIA:745	Ridgeback	NCBITaxon:9615		14633	
OMIA:799	Nova Scotia Duck Tolling retriever	NCBITaxon:9615		14632	
OMIA:387	Labrador	NCBITaxon:9615		14631	
OMIA:75	Labrador Retriever	NCBITaxon:9615		14631	
OMIA:235	Golden Retriever	NCBITaxon:9615		14609	
OMIA:930	Flat-coated retriever	NCBITaxon:9615		14608	
OMIA:779	Curly-coated retriever	NCBITaxon:9615		14606	
OMIA:537	Chesapeake Bay Retriever	NCBITaxon:9615		14605	
OMIA:804	Chesapeake Bay Retriever	NCBITaxon:9615		14605	
OMIA:388	Retriever	NCBITaxon:9615		14604	
OMIA:393	Pug	NCBITaxon:9615		14599	
OMIA:349	Toy Poodle	NCBITaxon:9615		14595	
OMIA:278	Standard Poodle	NCBITaxon:9615		14594	
OMIA:172	Miniature Poodle	NCBITaxon:9615		14593	
OMIA:196	Pomeranian	NCBITaxon:9615		14591	
OMIA:1025	Large Munster-lander	NCBITaxon:9615		14563	
OMIA:873	German Wirehaired Pointer	NCBITaxon:9615		14558	
OMIA:463	German Shorthaired Pointer	NCBITaxon:9615		14557	
OMIA:846	German pointer	NCBITaxon:9615		14553	
OMIA:199	English Pointer	NCBITaxon:9615		14530	
OMIA:1133	Braque du Bourbonnais	NCBITaxon:9615		14529	
OMIA:396	Pointer	NCBITaxon:9615		14527	
OMIA:619	German Pinscher	NCBITaxon:9615		14524	
OMIA:84	Doberman Pinscher	NCBITaxon:9615		14523	
OMIA:1017	Phal̬ne	NCBITaxon:9615		14516	
OMIA:783	Peruvian Hairless Dog (Inca Hairless)	NCBITaxon:9615		14514	
OMIA:786	Pekingese	NCBITaxon:9615		14511	
OMIA:759	Papillon	NCBITaxon:9615		14488	
OMIA:575	Lundehund	NCBITaxon:9615		14478	
OMIA:725	Landseer Newfoundland	NCBITaxon:9615		14477	
OMIA:899	Landseer	NCBITaxon:9615		14477	
OMIA:1130	Pyrenean Mountain Dog	NCBITaxon:9615		14448	
OMIA:818	Great Pyrenees	NCBITaxon:9615		14448	
OMIA:879	Greater Swiss Mountain	NCBITaxon:9615		14447	
OMIA:104	Bernese Mountain dog	NCBITaxon:9615		14443	
OMIA:782	Mexican Hairless Dog (Xoloitzcuintli)	NCBITaxon:9615		14434	
OMIA:819	Italian Cane Corso	NCBITaxon:9615		14403	
OMIA:740	English Mastiff	NCBITaxon:9615		14401	
OMIA:781	Mastiff	NCBITaxon:9615		14368	
OMIA:483	Lhasa Apso	NCBITaxon:9615		14363	
OMIA:916	Leonberger	NCBITaxon:9615		14361	
OMIA:760	Finnish Lapphund	NCBITaxon:9615		14359	
OMIA:921	Kromfohrl�_nder	NCBITaxon:9615		14323	
OMIA:880	Dutch Kooiker	NCBITaxon:9615		14318	
OMIA:1086	Komondor	NCBITaxon:9615		14317	
OMIA:345	Keeshond	NCBITaxon:9615		14312	
OMIA:599	Carelian Beardogs	NCBITaxon:9615		14311	
OMIA:832	Karelian bear dog	NCBITaxon:9615		14311	
OMIA:689	Shiba	NCBITaxon:9615		14287	
OMIA:902	Shiba-Inu	NCBITaxon:9615		14287	
OMIA:885	Japanese Chin dog	NCBITaxon:9615		14286	
OMIA:955	Italian Spinone	NCBITaxon:9615		14284	
OMIA:1104	Northern Inuit Dog	NCBITaxon:9615		14283	
OMIA:805	American Eskimo dog	NCBITaxon:9615		14280	
OMIA:801	Alaskan Husky	NCBITaxon:9615		14272	
OMIA:1157	Hungarian pumi	NCBITaxon:9615		14247	
OMIA:1158	Hungarian mudi	NCBITaxon:9615		14246	
OMIA:833	Kuvasz	NCBITaxon:9615		14245	
OMIA:1030	Plott Hound	NCBITaxon:9615		14202	
OMIA:703	Norwegian Dunkerhound	NCBITaxon:9615		14200	
OMIA:944	Italian hound	NCBITaxon:9615		14196	
OMIA:859	Finnish Hound	NCBITaxon:9615		14163	
OMIA:182	Basset Hound	NCBITaxon:9615		14129	
OMIA:213	Afghan Hound	NCBITaxon:9615		14121	
OMIA:798	Lancashire heeler	NCBITaxon:9615		14118	
OMIA:633	Hovawart	NCBITaxon:9615		14088	
OMIA:803	Wirehaired Griffon	NCBITaxon:9615		14084	
OMIA:1102	Petit Basset Griffon Vend̩en	NCBITaxon:9615		14075	
OMIA:787	Grand Basset Griffon Vendeen	NCBITaxon:9615		14074	
OMIA:1084	Galgo Espa̱ol	NCBITaxon:9615		14072	
OMIA:1024	Italian Greyhound	NCBITaxon:9615		14047	
OMIA:1085	Magyar Ag��r	NCBITaxon:9615		14046	
OMIA:198	Greyhound	NCBITaxon:9615		14040	
OMIA:339	Great Dane	NCBITaxon:9615		14037	
OMIA:945	American Foxhound	NCBITaxon:9615		14007	
OMIA:457	Foxhound	NCBITaxon:9615		14006	
